"lag_seconds","rows_"
"81838.920","6"
"84519.260","6"
"82666.370","6"
"68844.260","6"
"165659.660","6"
"170068.660","6"
"88544.260","6"
"132202.260","6"
"170819.660","6"
"72304.280","6"
"148217.260","6"
"151960.370","6"
"72431.280","6"
"83264.920","6"
"151021.920","6"
"146912.260","6"
"237397.660","6"
"232070.660","6"
"160797.660","6"
"154339.370","6"
"254288.930","6"
"177192.660","6"
"150394.370","6"
"125030.370","6"
"137701.260","6"
"80305.280","6"
"169792.660","6"
"84219.280","6"
"177669.660","6"
"135808.920","6"
"144893.920","6"
"136646.260","6"
"73566.280","6"
"142525.920","6"
"138176.260","6"
"252985.930","6"
"246597.930","6"
"140799.260","6"
"91231.260","6"
"134324.920","6"
"246397.930","6"
"150459.260","6"
"144711.260","6"
"252608.930","6"
"153780.260","6"
"142769.920","6"
"247474.930","6"
"145998.370","6"
"96941.920","6"
"325715.930","6"
"142050.260","6"
"264759.930","6"
"237920.660","6"
"75442.370","6"
"313233.930","6"
"171424.660","6"
"71517.260","6"
"145264.260","6"
"249829.930","6"
"175120.660","6"
"88286.260","6"
"249685.930","6"
"93343.920","6"
"71288.260","6"
"137181.920","6"
"321824.930","6"
"73691.260","6"
"139031.920","6"
"311577.930","6"
"322570.930","6"
"77902.280","6"
"255473.930","6"
"236469.660","6"
"175089.660","6"
"315288.930","6"
"254807.930","6"
"92271.280","6"
"73498.260","6"
"256965.930","5"
"77516.920","5"
"149418.260","5"
"316162.930","5"
"88784.280","5"
"233735.660","5"
"129762.370","5"
"169158.660","5"
"74103.280","5"
"70912.920","5"
"86116.260","5"
"72865.280","5"
"251312.930","5"
"93503.920","5"
"71233.370","5"
"82914.370","5"
"125841.370","5"
"91807.920","5"
"246630.930","5"
"136551.260","5"
"236004.660","5"
"143893.370","5"
"165068.660","5"
"150367.260","5"
"69560.280","5"
"252727.930","5"
"70194.370","5"
"150392.370","5"
"145107.260","5"
"154495.370","5"
"322326.930","5"
"78553.280","5"
"95860.260","5"
"149285.260","5"
"152384.370","5"
"325514.930","5"
"76732.260","5"
"144532.260","5"
"135724.920","5"
"228444.660","5"
"243196.930","5"
"248694.930","5"
"72459.280","5"
"261854.930","5"
"77917.920","5"
"143755.920","5"
"257738.930","5"
"144676.260","5"
"141210.260","5"
"83460.260","5"
"93525.920","5"
"91488.370","5"
"317253.930","5"
"93046.260","5"
"138765.920","5"
"148656.370","5"
"95472.920","5"
"178891.660","5"
"88427.280","5"
"80674.370","5"
"259090.930","5"
"94177.260","5"
"80569.280","5"
"142199.920","5"
"88551.920","5"
"81970.260","5"
"72766.920","5"
"163793.660","5"
"85401.370","5"
"232830.660","5"
"69308.370","5"
"74412.260","5"
"149798.370","5"
"258913.930","5"
"265080.930","5"
"226532.660","5"
"69568.370","5"
"73946.260","5"
"165995.660","5"
"243479.930","5"
